	Species	Accession_IDs	segment	Genus	Sort	Isolate Sort	Original_Accession_String	Errors
57	Scutavirus chelonidalpha5	HQ878327		Scutavirus	58.0	1.0	HQ878327	
58	Scutavirus testudinidalpha3	KM924292		Scutavirus	59.0	1.0	KM924292	
59	Simplexvirus atelinealpha1	KY385637		Simplexvirus	60.0	1.0	KY385637	
60	Simplexvirus bovinealpha2	MT862163		Simplexvirus	61.0	1.0	MT862163	
61	Simplexvirus cercopithecinealpha2	AY714813		Simplexvirus	62.0	1.0	AY714813	
62	Simplexvirus humanalpha1	JN555585		Simplexvirus	63.0	1.0	JN555585	
63	Simplexvirus humanalpha2	JN561323		Simplexvirus	64.0	1.0	JN561323	
64	Simplexvirus leporidalpha4	JQ596859		Simplexvirus	65.0	1.0	JQ596859	
65	Simplexvirus macacinealpha1	AF533768		Simplexvirus	66.0	1.0	AF533768	
66	Simplexvirus macacinealpha2	KY628968		Simplexvirus	67.0	1.0	KY628968	
67	Simplexvirus macacinealpha3	KY628970		Simplexvirus	68.0	1.0	KY628970	
68	Simplexvirus macropodidalpha1	KT594769		Simplexvirus	69.0	1.0	KT594769	
69	Simplexvirus macropodidalpha2	MT900475		Simplexvirus	70.0	1.0	MT900475	
70	Simplexvirus macropodidalpha4	MT900474		Simplexvirus	71.0	1.0	MT900474	
71	Simplexvirus paninealpha3	JQ360576		Simplexvirus	72.0	1.0	JQ360576	
72	Simplexvirus papiinealpha2	DQ149153		Simplexvirus	73.0	1.0	DQ149153	
73	Simplexvirus pteropodidalpha1	AB825953		Simplexvirus	74.0	1.0	AB825953	
74	Simplexvirus pteropodidalpha2	LC492974		Simplexvirus	75.0	1.0	LC492974	
75	Simplexvirus saimiriinealpha1	HM625781		Simplexvirus	76.0	1.0	HM625781	
76	Varicellovirus bovinealpha1	JX898220		Varicellovirus	77.0	1.0	JX898220	
77	Varicellovirus bovinealpha5	AY261359		Varicellovirus	78.0	1.0	AY261359	
78	Varicellovirus bubalinealpha1	KU936049		Varicellovirus	79.0	1.0	KU936049	
79	Varicellovirus canidalpha1	KT819633		Varicellovirus	80.0	1.0	KT819633	
80	Varicellovirus caprinealpha1	MG989243		Varicellovirus	81.0	1.0	MG989243	
81	Varicellovirus cercopithecinealpha9	AF275348		Varicellovirus	82.0	1.0	AF275348	
82	Varicellovirus cervidalpha1	MH036942		Varicellovirus	83.0	1.0	MH036942	
83	Varicellovirus cervidalpha2	MH036943		Varicellovirus	84.0	1.0	MH036943	
84	Varicellovirus cervidalpha3	MH036941		Varicellovirus	85.0	1.0	MH036941	
85	Varicellovirus equidalpha1	AY665713		Varicellovirus	86.0	1.0	AY665713	
86	Varicellovirus equidalpha3	KM051845		Varicellovirus	87.0	1.0	KM051845	
87	Varicellovirus equidalpha4	AF030027		Varicellovirus	88.0	1.0	AF030027	
88	Varicellovirus equidalpha6	MT012704		Varicellovirus	89.0	1.0	MT012704	
89	Varicellovirus equidalpha8	MF431611		Varicellovirus	90.0	1.0	MF431611	
90	Varicellovirus equidalpha9	AP010838		Varicellovirus	91.0	1.0	AP010838	
91	Varicellovirus felidalpha1	FJ478159		Varicellovirus	92.0	1.0	FJ478159	
92	Varicellovirus humanalpha3	X04370		Varicellovirus	93.0	1.0	X04370	
93	Varicellovirus monodontidalpha1	MF678601		Varicellovirus	94.0	1.0	MF678601	
94	Varicellovirus phocidalpha1	MH509440		Varicellovirus	95.0	1.0	MH509440	
95	Varicellovirus suidalpha1	JF797218		Varicellovirus	96.0	1.0	JF797218	
96	Cytomegalovirus aotinebeta1	FJ483970		Cytomegalovirus	97.0	1.0	FJ483970	
97	Cytomegalovirus cebinebeta1	JQ264772		Cytomegalovirus	98.0	1.0	JQ264772	
98	Cytomegalovirus cercopithecinebeta5	FJ483968		Cytomegalovirus	99.0	1.0	FJ483968	
99	Cytomegalovirus humanbeta5	AY446894		Cytomegalovirus	100.0	1.0	AY446894	
100	Cytomegalovirus macacinebeta3	AY186194		Cytomegalovirus	101.0	1.0	AY186194	
101	Cytomegalovirus macacinebeta8	JN227533		Cytomegalovirus	102.0	1.0	JN227533	
102	Cytomegalovirus mandrillinebeta1	KR297253		Cytomegalovirus	103.0	1.0	KR297253	
103	Cytomegalovirus paninebeta2	AF480884		Cytomegalovirus	104.0	1.0	AF480884	
104	Cytomegalovirus papiinebeta3	AC090446		Cytomegalovirus	105.0	1.0	AC090446	
105	Cytomegalovirus papiinebeta4	KR351281		Cytomegalovirus	106.0	1.0	KR351281	
106	Cytomegalovirus saimiriinebeta4	FJ483967		Cytomegalovirus	107.0	1.0	FJ483967	
107	Muromegalovirus muridbeta1	GU305914		Muromegalovirus	108.0	1.0	GU305914	
108	Muromegalovirus muridbeta2	AF232689		Muromegalovirus	109.0	1.0	AF232689	
109	Muromegalovirus muridbeta8	JX867617		Muromegalovirus	110.0	1.0	JX867617	
110	Proboscivirus elephantidbeta1	KC462165		Proboscivirus	111.0	1.0	KC462165	
111	Proboscivirus elephantidbeta3	MN373268		Proboscivirus	112.0	1.0	MN373268	
112	Proboscivirus elephantidbeta4	KT832477		Proboscivirus	113.0	1.0	KT832477	
113	Proboscivirus elephantidbeta5	KF921519		Proboscivirus	114.0	1.0	KF921519	
114	Quwivirus caviidbeta2	KC503762		Quwivirus	115.0	1.0	KC503762	
115	Quwivirus miniopteridbeta1	JQ805139		Quwivirus	116.0	1.0	JQ805139	
116	Quwivirus tupaiidbeta1	AF281817		Quwivirus	117.0	1.0	AF281817	
117	Roseolovirus humanbeta6a	X83413		Roseolovirus	118.0	1.0	X83413	
118	Roseolovirus humanbeta6b	AF157706		Roseolovirus	119.0	1.0	AF157706	
119	Roseolovirus humanbeta7	AF037218		Roseolovirus	120.0	1.0	AF037218	
120	Roseolovirus macacinebeta9	KU351741		Roseolovirus	121.0	1.0	KU351741	
121	Roseolovirus muridbeta3	KY355735		Roseolovirus	122.0	1.0	KY355735	
122	Roseolovirus suidbeta2	KF017583		Roseolovirus	123.0	1.0	KF017583	
123	Bossavirus delphinidgamma1	KY965444		Bossavirus	124.0	1.0	KY965444	
124	Lymphocryptovirus callitrichinegamma3	AF319782		Lymphocryptovirus	125.0	1.0	AF319782	
125	Lymphocryptovirus gorillinegamma1	AJ581752		Lymphocryptovirus	126.0	1.0	AJ581752	
126	Lymphocryptovirus humangamma4	AJ507799		Lymphocryptovirus	127.0	1.0	AJ507799	
127	Lymphocryptovirus macacinegamma10	KP676001		Lymphocryptovirus	128.0	1.0	KP676001	
128	Lymphocryptovirus macacinegamma13	MG471437		Lymphocryptovirus	129.0	1.0	MG471437	
129	Lymphocryptovirus macacinegamma4	AY037858		Lymphocryptovirus	130.0	1.0	AY037858	
130	Lymphocryptovirus paninegamma1	AJ581751		Lymphocryptovirus	131.0	1.0	AJ581751	
131	Lymphocryptovirus papiinegamma1	AJ581750		Lymphocryptovirus	132.0	1.0	AJ581750	
132	Lymphocryptovirus ponginegamma2	AJ581753		Lymphocryptovirus	133.0	1.0	AJ581753	
133	Macavirus alcelaphinegamma1	AF005370		Macavirus	134.0	1.0	AF005370	
134	Macavirus alcelaphinegamma2	KF274499		Macavirus	135.0	1.0	KF274499	
135	Macavirus bovinegamma6	KJ705001		Macavirus	136.0	1.0	KJ705001	
136	Macavirus caprinegamma2	AF283477		Macavirus	137.0	1.0	AF283477	
137	Macavirus hippotraginegamma1	DQ083950		Macavirus	138.0	1.0	DQ083950	
138	Macavirus ovinegamma2	AY839756		Macavirus	139.0	1.0	AY839756	
139	Macavirus suidgamma3	AF478169		Macavirus	140.0	1.0	AF478169	
140	Macavirus suidgamma4	AY170317		Macavirus	141.0	1.0	AY170317	
141	Macavirus suidgamma5	AY170316		Macavirus	142.0	1.0	AY170316	
142	Manticavirus phascolarctidgamma1	MG452722		Manticavirus	143.0	1.0	MG452722	
143	Manticavirus vombatidgamma1	MG452721		Manticavirus	144.0	1.0	MG452721	
144	Patagivirus vespertilionidgamma3	MF385016		Patagivirus	145.0	1.0	MF385016	
145	Percavirus equidgamma2	U20824		Percavirus	146.0	1.0	U20824	
146	Percavirus equidgamma5	KM924295		Percavirus	147.0	1.0	KM924295	
147	Percavirus felidgamma1	KT595939		Percavirus	148.0	1.0	KT595939	
148	Percavirus mustelidgamma1	AF376034		Percavirus	149.0	1.0	AF376034	
149	Percavirus phocidgamma3	KP136799		Percavirus	150.0	1.0	KP136799	
150	Percavirus rhinolophidgamma1	LC333428		Percavirus	151.0	1.0	LC333428	
151	Percavirus vespertilionidgamma1	KU220026		Percavirus	152.0	1.0	KU220026	
152	Rhadinovirus atelinegamma2	M22036		Rhadinovirus	153.0	1.0	M22036	
153	Rhadinovirus atelinegamma3	AF083424		Rhadinovirus	154.0	1.0	AF083424	
154	Rhadinovirus bovinegamma4	AF318573		Rhadinovirus	155.0	1.0	AF318573	
155	Rhadinovirus colobinegamma1	MH932584		Rhadinovirus	156.0	1.0	MH932584	
156	Rhadinovirus cricetidgamma2	HQ221963		Rhadinovirus	157.0	1.0	HQ221963	
157	Rhadinovirus humangamma8	AF148805		Rhadinovirus	158.0	1.0	AF148805	
158	Rhadinovirus macacinegamma11	AY528864		Rhadinovirus	159.0	1.0	AY528864	
159	Rhadinovirus macacinegamma12	KP265674		Rhadinovirus	160.0	1.0	KP265674	
160	Rhadinovirus macacinegamma5	AF083501		Rhadinovirus	161.0	1.0	AF083501	
161	Rhadinovirus macacinegamma8	KF703446		Rhadinovirus	162.0	1.0	KF703446	
162	Rhadinovirus muridgamma4	U97553		Rhadinovirus	163.0	1.0	U97553	
163	Rhadinovirus muridgamma7	GQ169129		Rhadinovirus	164.0	1.0	GQ169129	
164	Rhadinovirus saimiriinegamma2	X64346		Rhadinovirus	165.0	1.0	X64346	
165	Junduvirus communis	MZ130489		Junduvirus	166.0	1.0	MZ130489	
166	Junduvirus copri	MZ130487		Junduvirus	167.0	1.0	MZ130487	
167	Kahucivirus intestinalis	MT774393		Kahucivirus	168.0	1.0	MT774393	
168	Kingevirus communis	MZ130490		Kingevirus	169.0	1.0	MZ130490	
169	Jahgtovirus gastrointestinalis	MZ130479		Jahgtovirus	170.0	1.0	MZ130479	
170	Jahgtovirus intestinalis	MZ130484		Jahgtovirus	171.0	1.0	MZ130484	
171	Jahgtovirus intestinihominis	MT774377		Jahgtovirus	172.0	1.0	MT774377	
172	Jahgtovirus secundus	MN917146		Jahgtovirus	173.0	1.0	MN917146	
173	Carjivirus communis	BK010471		Carjivirus	174.0	1.0	BK010471	
174	Carjivirus hominis	MZ130481		Carjivirus	175.0	1.0	MZ130481	
175	Dabirmavirus hominis	MZ130486		Dabirmavirus	176.0	1.0	MZ130486	
176	Delmidovirus copri	MZ130476		Delmidovirus	177.0	1.0	MZ130476	
177	Delmidovirus intestinihominis	MT774386		Delmidovirus	178.0	1.0	MT774386	
178	Delmidovirus splanchnicus	MT774383		Delmidovirus	179.0	1.0	MT774383	
179	Diorhovirus copri	MZ130474		Diorhovirus	180.0	1.0	MZ130474	
180	Diorhovirus intestinalis	MT774381		Diorhovirus	181.0	1.0	MT774381	
181	Drivevirus gastrointestinalis	MZ130480		Drivevirus	182.0	1.0	MZ130480	
182	Endlipuvirus intestinihominis	MZ130488		Endlipuvirus	183.0	1.0	MZ130488	
183	Whopevirus animalis	MH616963		Whopevirus	184.0	1.0	MH616963	
184	Fohxhuevirus gastrointestinalis	MT774384		Fohxhuevirus	185.0	1.0	MT774384	
185	Hacihdavirus animalis	MT774394		Hacihdavirus	186.0	1.0	MT774394	
186	Wotdevirus murinus	MH552500		Wotdevirus	187.0	1.0	MH552500	
187	Akihdevirus balticus	KC821624		Akihdevirus	188.0	1.0	KC821624	
188	Kahnovirus copri	MZ130483		Kahnovirus	189.0	1.0	MZ130483	
189	Kahnovirus oralis	MT774390		Kahnovirus	190.0	1.0	MT774390	
190	Kehishuvirus primarius	MH675552		Kehishuvirus	191.0	1.0	MH675552	
191	Kehishuvirus splanchnicus	MT774388		Kehishuvirus	192.0	1.0	MT774388	
192	Kolpuevirus coli	MZ130478		Kolpuevirus	193.0	1.0	MZ130478	
193	Kolpuevirus hominis	MT774391		Kolpuevirus	194.0	1.0	MT774391	
194	Lahndsivirus rarus	MT774387		Lahndsivirus	195.0	1.0	MT774387	
195	Lebriduvirus gastrointestinalis	MZ130485		Lebriduvirus	196.0	1.0	MZ130485	
196	Mahlunavirus rarus	MT774392		Mahlunavirus	197.0	1.0	MT774392	
197	Mahstovirus faecalis	MT774378		Mahstovirus	198.0	1.0	MT774378	
198	Pamirivirus faecium	MT774389		Pamirivirus	199.0	1.0	MT774389	
199	Paundivirus hollandii	KJ003983		Paundivirus	200.0	1.0	KJ003983	
200	Pipoluvirus rarus	MT774385		Pipoluvirus	201.0	1.0	MT774385	
201	Wulfhauvirus bangladeshii	MT074136		Wulfhauvirus	202.0	1.0	MT074136	
202	Afonbuvirus coli	MZ130499		Afonbuvirus	203.0	1.0	MZ130499	
203	Afonbuvirus faecalis	MT774401		Afonbuvirus	204.0	1.0	MT774401	
204	Afonbuvirus intestinihominis	MZ130492		Afonbuvirus	205.0	1.0	MZ130492	
205	Canhaevirus faecalis	MZ130482		Canhaevirus	206.0	1.0	MZ130482	
206	Canhaevirus hiberniae	MT774382		Canhaevirus	207.0	1.0	MT774382	
207	Cohcovirus hiberniae	MT774375		Cohcovirus	208.0	1.0	MT774375	
208	Cohcovirus splanchnicus	MZ130475		Cohcovirus	209.0	1.0	MZ130475	
209	Culoivirus americanus	MT774380		Culoivirus	210.0	1.0	MT774380	
210	Culoivirus faecalis	MZ130477		Culoivirus	211.0	1.0	MZ130477	
211	Culoivirus intestinalis	MT774376		Culoivirus	212.0	1.0	MT774376	
212	Blohavirus americanus	MT774396		Blohavirus	213.0	1.0	MT774396	
213	Blohavirus faecalis	MZ130495		Blohavirus	214.0	1.0	MZ130495	
214	Buchavirus coli	MT774403		Buchavirus	215.0	1.0	MT774403	
215	Buchavirus copri	MT774395		Buchavirus	216.0	1.0	MT774395	
216	Buchavirus faecalis	MT774397		Buchavirus	217.0	1.0	MT774397	
217	Buchavirus hiberniae	MZ130498		Buchavirus	218.0	1.0	MZ130498	
218	Buchavirus hominis	MT774398		Buchavirus	219.0	1.0	MT774398	
219	Buchavirus intestinalis	MZ130493		Buchavirus	220.0	1.0	MZ130493	
220	Buchavirus oralis	MZ130496		Buchavirus	221.0	1.0	MZ130496	
221	Buchavirus splanchnicus	MT774399		Buchavirus	222.0	1.0	MT774399	
222	Buorbuivirus hominis	MT774400		Buorbuivirus	223.0	1.0	MT774400	
223	Bohxovirus oralis	MZ130491		Bohxovirus	224.0	1.0	MZ130491	
224	Buhlduvirus animalis	MT774411		Buhlduvirus	225.0	1.0	MT774411	
225	Buhlduvirus porcinus	MT774410		Buhlduvirus	226.0	1.0	MT774410	
226	Burzaovirus coli	MT774402		Burzaovirus	227.0	1.0	MT774402	
227	Burzaovirus faecalis	MT774406		Burzaovirus	228.0	1.0	MT774406	
228	Burzaovirus intestinihominis	MZ130497		Burzaovirus	229.0	1.0	MZ130497	
229	Cacepaovirus simiae	MT774409		Cacepaovirus	230.0	1.0	MT774409	
230	Chuhaivirus simiae	MT774408		Chuhaivirus	231.0	1.0	MT774408	
231	Aurodevirus hiberniae	MZ130500		Aurodevirus	232.0	1.0	MZ130500	
232	Aurodevirus hominis	MT774407		Aurodevirus	233.0	1.0	MT774407	
233	Aurodevirus intestinalis	MT774404		Aurodevirus	234.0	1.0	MT774404	
234	Besingivirus coli	MT774379		Besingivirus	235.0	1.0	MT774379	
235	Birpovirus hiberniae	MT774405		Birpovirus	236.0	1.0	MT774405	
236	Birpovirus hominis	MZ130494		Birpovirus	237.0	1.0	MZ130494	
237	Dechshavirus japanensis	AP017903		Dechshavirus	238.0	1.0	AP017903	
238	Mathaucavirus yangshanense	ON649701		Mathaucavirus	239.0	1.0	ON649701	
239	Nohelivirus yangshanense	ON649699		Nohelivirus	240.0	1.0	ON649699	
240	Senitvirus yangshanense	ON649700		Senitvirus	241.0	1.0	ON649700	
241	Sweetvirus yangshanense	ON649698		Sweetvirus	242.0	1.0	ON649698	
242	Beejeyvirus BJ1	AM419438		Beejeyvirus	243.0	1.0	AM419438	
243	Seejivirus CGphi46	HQ332141		Seejivirus	244.0	1.0	HQ332141	
244	Dpdavirus HRTV29	MZ334526		Dpdavirus	245.0	1.0	MZ334526	
245	Retbasiphovirus HFTV1	MG550112		Retbasiphovirus	246.0	1.0	MG550112	
246	Saldibavirus HRTV4	KC292023		Saldibavirus	247.0	1.0	KC292023	
247	Hatrivirus HATV3	MZ334527		Hatrivirus	248.0	1.0	MZ334527	
248	Lonfivirus HSTV1	KC117378		Lonfivirus	249.0	1.0	KC117378	
249	Aobingvirus yangshanense	ON649702		Aobingvirus	250.0	1.0	ON649702	
250	Metforvirus Drs3	MH674343		Metforvirus	251.0	1.0	MH674343	
251	Psimunavirus psiM2	AF065411		Psimunavirus	252.0	1.0	AF065411	
252	Kisinvirus pescaderoense	OP413838		Kisinvirus	253.0	1.0	OP413838	
253	Kukulkanvirus guaymasense	OP880252		Kukulkanvirus	254.0	1.0	OP880252	
254	Kukulkanvirus mexicoense	OP880253		Kukulkanvirus	255.0	1.0	OP880253	
255	Hacavirus HCTV1	KC292029		Hacavirus	256.0	1.0	KC292029	
256	Tredecimvirus HVTV1	KC117377		Tredecimvirus	257.0	1.0	KC117377	
257	Haloferacalesvirus HF1	AY190604		Haloferacalesvirus	258.0	1.0	AY190604	
258	Haloferacalesvirus HJTV2	MZ334513		Haloferacalesvirus	259.0	1.0	MZ334513	
259	Haloferacalesvirus HRTV10	MZ334496		Haloferacalesvirus	260.0	1.0	MZ334496	
260	Haloferacalesvirus HRTV5	KC292022		Haloferacalesvirus	261.0	1.0	KC292022	
261	Haloferacalesvirus HRTV8	KC292020		Haloferacalesvirus	262.0	1.0	KC292020	
262	Haloferacalesvirus HSTV4	MZ334501		Haloferacalesvirus	263.0	1.0	MZ334501	
263	Haloferacalesvirus Serpecor1	MN901521		Haloferacalesvirus	264.0	1.0	MN901521	
264	Laminvirus HRTV25	MZ334521		Laminvirus	265.0	1.0	MZ334521	
265	Mincapvirus HSTV2	KC117376		Mincapvirus	266.0	1.0	KC117376	
266	Minorvirus HRTV27	MZ334522		Minorvirus	267.0	1.0	MZ334522	
267	Hagravirus HGTV1	KC292026		Hagravirus	268.0	1.0	KC292026	
268	Eilatmyovirus HATV2	MZ334525		Eilatmyovirus	269.0	1.0	MZ334525	
269	Agtrevirus AG3	FJ373894		Agtrevirus	270.0	1.0	FJ373894	
270	Agtrevirus EM4	LC373201		Agtrevirus	271.0	1.0	LC373201	
271	Agtrevirus MK13	MK509462		Agtrevirus	272.0	1.0	MK509462	
272	Agtrevirus P46FS4	MT078988		Agtrevirus	273.0	1.0	MT078988	
273	Agtrevirus SKML39	JX181829		Agtrevirus	274.0	1.0	JX181829	
274	Limestonevirus limestone	HE600015		Limestonevirus	275.0	1.0	HE600015	
275	Limestonevirus RC2014	KJ716335		Limestonevirus	276.0	1.0	KJ716335	
276	Kuttervirus aagejoakim	MT074474		Kuttervirus	277.0	1.0	MT074474	
277	Kuttervirus allotria	MT074471		Kuttervirus	278.0	1.0	MT074471	
278	Kuttervirus barely	MT074477		Kuttervirus	279.0	1.0	MT074477	
279	Kuttervirus bering	MT074472		Kuttervirus	280.0	1.0	MT074472	
280	Kuttervirus BSP101	KY787213		Kuttervirus	281.0	1.0	KY787213	
281	Kuttervirus CBA120	JN593240		Kuttervirus	282.0	1.0	JN593240	
282	Kuttervirus Det7	KP797973		Kuttervirus	283.0	1.0	KP797973	
283	Kuttervirus dinky	MT074475		Kuttervirus	284.0	1.0	MT074475	
284	Kuttervirus ECML4	JX128257		Kuttervirus	285.0	1.0	JX128257	
285	Kuttervirus EP75	MG748547		Kuttervirus	286.0	1.0	MG748547	
286	Kuttervirus FEC14	MG383452		Kuttervirus	287.0	1.0	MG383452	
287	Kuttervirus GG32	KX245012		Kuttervirus	288.0	1.0	KX245012	
288	Kuttervirus heyday	MT074470		Kuttervirus	289.0	1.0	MT074470	
289	Kuttervirus kv38	KR296692		Kuttervirus	290.0	1.0	KR296692	
290	Kuttervirus maane	MT074480		Kuttervirus	291.0	1.0	MT074480	
291	Kuttervirus marshall	KF669653		Kuttervirus	292.0	1.0	KF669653	
292	Kuttervirus maynard	KF669654		Kuttervirus	293.0	1.0	KF669654	
293	Kuttervirus moki	MT074478		Kuttervirus	294.0	1.0	MT074478	
294	Kuttervirus mutine	MG428992		Kuttervirus	295.0	1.0	MG428992	
295	Kuttervirus pertopsoe	MT074479		Kuttervirus	296.0	1.0	MT074479	
296	Kuttervirus PhaxI	JN673056		Kuttervirus	297.0	1.0	JN673056	
297	Kuttervirus PM10	KX438380		Kuttervirus	298.0	1.0	KX438380	
298	Kuttervirus rabagast	MT074469		Kuttervirus	299.0	1.0	MT074469	
299	Kuttervirus S118	MH370371		Kuttervirus	300.0	1.0	MH370371	
300	Kuttervirus SE14	MK972690		Kuttervirus	301.0	1.0	MK972690	
301	Kuttervirus SeB	MN871491		Kuttervirus	302.0	1.0	MN871491	
302	Kuttervirus SeG	MN871495		Kuttervirus	303.0	1.0	MN871495	
303	Kuttervirus SeJ	MN871498		Kuttervirus	304.0	1.0	MN871498	
304	Kuttervirus SenALZ1	MH709121		Kuttervirus	305.0	1.0	MH709121	
305	Kuttervirus SenASZ3	MH709120		Kuttervirus	306.0	1.0	MH709120	
306	Kuttervirus SeSz1	MH791405		Kuttervirus	307.0	1.0	MH791405	
307	Kuttervirus SFP10	HQ259103		Kuttervirus	308.0	1.0	HQ259103	
308	Kuttervirus SH19	JN126049		Kuttervirus	309.0	1.0	JN126049	
309	Kuttervirus SJ2	KJ174317		Kuttervirus	310.0	1.0	KJ174317	
310	Kuttervirus SJ3	KJ174318		Kuttervirus	311.0	1.0	KJ174318	
311	Kuttervirus SP1	MF001362		Kuttervirus	312.0	1.0	MF001362	
312	Kuttervirus SS9	MK972699		Kuttervirus	313.0	1.0	MK972699	
313	Kuttervirus STML131	JX181828		Kuttervirus	314.0	1.0	JX181828	
314	Kuttervirus STW77	KX765865		Kuttervirus	315.0	1.0	KX765865	
315	Kuttervirus ViI	FQ312032		Kuttervirus	316.0	1.0	FQ312032	
316	Campanilevirus YC	MH375644		Campanilevirus	317.0	1.0	MH375644	
317	Kujavirus kuja	MN718199		Kujavirus	318.0	1.0	MN718199	
318	Miltonvirus 3M	MH929319		Miltonvirus	319.0	1.0	MH929319	
319	Miltonvirus MAM1	JX878496		Miltonvirus	320.0	1.0	JX878496	
320	Nezavisimistyvirus bue1	MG973030		Nezavisimistyvirus	321.0	1.0	MG973030	
